"Line";"Line_name";"Station";"Station_name"
"AEL";"Airport Express";"HOK";"Hong Kong"
"AEL";"Airport Express";"KOW";"Kowloon"
"AEL";"Airport Express";"TSY";"Tsing Yi"
"AEL";"Airport Express";"AIR";"Airport"
"AEL";"Airport Express";"AWE";"AsiaWorld Expo"
"TCL";"Tung Chung Line";"HOK";"Hong Kong"
"TCL";"Tung Chung Line";"KOW";"Kowloon"
"TCL";"Tung Chung Line";"OLY";"Olympic"
"TCL";"Tung Chung Line";"NAC";"Nam Cheong"
"TCL";"Tung Chung Line";"LAK";"Lai King"
"TCL";"Tung Chung Line";"TSY";"Tsing Yi"
"TCL";"Tung Chung Line";"SUN";"Sunny Bay"
"TCL";"Tung Chung Line";"TUC";"Tung Chung"
"TML";"Tuen Ma Line";"WKS";"Wu Kai Sha"
"TML";"Tuen Ma Line";"MOS";"Ma On Shan"
"TML";"Tuen Ma Line";"HEO";"Heng On"
"TML";"Tuen Ma Line";"TSH";"Tai Shui Hang"
"TML";"Tuen Ma Line";"SHM";"Shek Mun"
"TML";"Tuen Ma Line";"CIO";"City One"
"TML";"Tuen Ma Line";"STW";"Sha Tin Wai"
"TML";"Tuen Ma Line";"CKT";"Che Kung Temple"
"TML";"Tuen Ma Line";"TAW";"Tai Wai"
"TML";"Tuen Ma Line";"HIK";"Hin Keng"
"TML";"Tuen Ma Line";"DIH";"Diamond Hill"
"TML";"Tuen Ma Line";"KAT";"Kai Tak"
"TML";"Tuen Ma Line";"SUW";"Sung Wong Toi"
"TML";"Tuen Ma Line";"TKW";"To Kwa Wan"
"TML";"Tuen Ma Line";"HOM";"Ho Man Tin"
"TML";"Tuen Ma Line";"HUH";"Hung Hom"
"TML";"Tuen Ma Line";"ETS";"East Tsim Sha Tsui"
"TML";"Tuen Ma Line";"AUS";"Austin"
"TML";"Tuen Ma Line";"NAC";"Nam Cheong"
"TML";"Tuen Ma Line";"MEF";"Mei Foo"
"TML";"Tuen Ma Line";"TWW";"Tsuen Wan West"
"TML";"Tuen Ma Line";"KSR";"Kam Sheung Road"
"TML";"Tuen Ma Line";"YUL";"Yuen Long"
"TML";"Tuen Ma Line";"LOP";"Long Ping"
"TML";"Tuen Ma Line";"TIS";"Tin Shui Wai"
"TML";"Tuen Ma Line";"SIH";"Siu Hong"
"TML";"Tuen Ma Line";"TUM";"Tuen Mun"
"TKL";"Tseung Kwan O Line";"NOP";"North Point"
"TKL";"Tseung Kwan O Line";"QUB";"Quarry Bay"
"TKL";"Tseung Kwan O Line";"YAT";"Yau Tong"
"TKL";"Tseung Kwan O Line";"TIK";"Tiu Keng Leng"
"TKL";"Tseung Kwan O Line";"TKO";"Tseung Kwan O"
"TKL";"Tseung Kwan O Line";"LHP";"LOHAS Park"
"TKL";"Tseung Kwan O Line";"HAH";"Hang Hau"
"TKL";"Tseung Kwan O Line";"POA";"Po Lam"
"EAL";"East Rail Line";"ADM";"Admiralty"
"EAL";"East Rail Line";"EXC";"Exhibition Centre"
"EAL";"East Rail Line";"HUH";"Hung Hom"
"EAL";"East Rail Line";"MKK";"Mong Kok East"
"EAL";"East Rail Line";"KOT";"Kowloon Tong"
"EAL";"East Rail Line";"TAW";"Tai Wai"
"EAL";"East Rail Line";"SHT";"Sha Tin"
"EAL";"East Rail Line";"FOT";"Fo Tan"
"EAL";"East Rail Line";"RAC";"Racecourse"
"EAL";"East Rail Line";"UNI";"University"
"EAL";"East Rail Line";"TAP";"Tai Po Market"
"EAL";"East Rail Line";"TWO";"Tai Wo"
"EAL";"East Rail Line";"FAN";"Fanling"
"EAL";"East Rail Line";"SHS";"Sheung Shui"
"EAL";"East Rail Line";"LOW";"Lo Wu"
"EAL";"East Rail Line";"LMC";"Lok Ma Chau"
"SIL";"South Island Line";"ADM";"Admiralty"
"SIL";"South Island Line";"OCP";"Ocean Park"
"SIL";"South Island Line";"WCH";"Wong Chuk Hang"
"SIL";"South Island Line";"LET";"Lei Tung"
"SIL";"South Island Line";"SOH";"South Horizons"
"TWL";"Tsuen Wan Line";"CEN";"Central"
"TWL";"Tsuen Wan Line";"ADM";"Admiralty"
"TWL";"Tsuen Wan Line";"TST";"Tsim Sha Tsui"
"TWL";"Tsuen Wan Line";"JOR";"Jordan"
"TWL";"Tsuen Wan Line";"YMT";"Yau Ma Tei"
"TWL";"Tsuen Wan Line";"MOK";"Mong Kok"
"TWL";"Tsuen Wan Line";"PRE";"Price Edward"
"TWL";"Tsuen Wan Line";"SSP";"Sham Shui Po"
"TWL";"Tsuen Wan Line";"CSW";"Cheung Sha Wan"
"TWL";"Tsuen Wan Line";"LCK";"Lai Chi Kok"
"TWL";"Tsuen Wan Line";"MEF";"Mei Foo"
"TWL";"Tsuen Wan Line";"LAK";"Lai King"
"TWL";"Tsuen Wan Line";"KWF";"Kwai Fong"
"TWL";"Tsuen Wan Line";"KWH";"Kwai Hing"
"TWL";"Tsuen Wan Line";"TWH";"Tai Wo Hau"
"TWL";"Tsuen Wan Line";"TSW";"Tsuen Wan"
"ISL";"Island Line";"KET";"Kennedy Town"
"ISL";"Island Line";"HKU";"HKU"
"ISL";"Island Line";"SYP";"Sai Ying Pun"
"ISL";"Island Line";"SHW";"Sheung Wan"
"ISL";"Island Line";"CEN";"Central"
"ISL";"Island Line";"ADM";"Admiralty"
"ISL";"Island Line";"WAC";"Wan Chai"
"ISL";"Island Line";"CAB";"Causeway Bay"
"ISL";"Island Line";"TIH";"Tin Hau"
"ISL";"Island Line";"FOH";"Fortress Hill"
"ISL";"Island Line";"NOP";"North Point"
"ISL";"Island Line";"QUB";"Quarry Bay"
"ISL";"Island Line";"TAK";"Tai Koo"
"ISL";"Island Line";"SWH";"Sai Wan Ho"
"ISL";"Island Line";"SKW";"Shau Kei Wan"
"ISL";"Island Line";"HFC";"Heng Fa Chuen"
"ISL";"Island Line";"CHW";"Chai Wan"
"KTL";"Kwun Tong Line";"WHA";"Whampoa"
"KTL";"Kwun Tong Line";"HOM";"Ho Man Tin"
"KTL";"Kwun Tong Line";"YMT";"Yau Ma Tei"
"KTL";"Kwun Tong Line";"MOK";"Mong Kok"
"KTL";"Kwun Tong Line";"PRE";"Prince Edward"
"KTL";"Kwun Tong Line";"SKM";"Shek Kip Mei"
"KTL";"Kwun Tong Line";"KOT";"Kowloon Tong"
"KTL";"Kwun Tong Line";"LOF";"Lok Fu"
"KTL";"Kwun Tong Line";"WTS";"Wong Tai Sin"
"KTL";"Kwun Tong Line";"DIH";"Diamond Hill"
"KTL";"Kwun Tong Line";"CHH";"Choi Hung"
"KTL";"Kwun Tong Line";"KOB";"Kowloon Bay"
"KTL";"Kwun Tong Line";"NTK";"Ngau Tau Kok"
"KTL";"Kwun Tong Line";"KWT";"Kwun Tong"
"KTL";"Kwun Tong Line";"LAT";"Lam Tin"
"KTL";"Kwun Tong Line";"YAT";"Yau Tong"
"KTL";"Kwun Tong Line";"TIK";"Tiu Keng Leng"
